Id,Hrapx,Hrapy,Lat,Lon,Globvalue
74413,355,57,26.5203,-106.6885,0.02
74414,356,57,26.5213,-106.6514,0.02
74415,357,57,26.5222,-106.6143,0.01
74416,358,57,26.5231,-106.5772,0.02
74417,359,57,26.5241,-106.5401,0.01
74418,360,57,26.5249,-106.5030,0.01
75988,354,58,26.5525,-106.7267,0.02
75989,355,58,26.5535,-106.6896,0.02
75990,356,58,26.5545,-106.6525,0.04
75991,357,58,26.5554,-106.6154,0.03
75992,358,58,26.5563,-106.5783,0.04
75993,359,58,26.5572,-106.5411,0.04
75994,360,58,26.5581,-106.5040,0.01
77565,355,59,26.5867,-106.6907,0.01
77566,356,59,26.5877,-106.6536,0.01
77567,357,59,26.5886,-106.6164,0.02
77568,358,59,26.5895,-106.5793,0.04
77569,359,59,26.5905,-106.5421,0.04
77570,360,59,26.5913,-106.5050,0.01
79143,357,60,26.6218,-106.6175,0.01
79144,358,60,26.6228,-106.5803,0.02
79145,359,60,26.6237,-106.5431,0.02
186985,1031,128,24.6265,-81.8202,0.01
188564,1034,129,24.6179,-81.7075,0.01
188568,1038,129,24.5663,-81.5762,0.02
188569,1039,129,24.5534,-81.5434,0.02
190146,1040,130,24.5703,-81.4964,0.01
191718,1036,131,24.6518,-81.6134,0.01
191723,1041,131,24.5871,-81.4494,0.02
193298,1040,132,24.6299,-81.4679,0.01
193299,1041,132,24.6169,-81.4351,0.01
193300,1042,132,24.6039,-81.4024,0.02
193301,1043,132,24.5909,-81.3696,0.02
194872,1038,133,24.6857,-81.5193,0.02
194873,1039,133,24.6727,-81.4864,0.02
194874,1040,133,24.6597,-81.4536,0.01
194877,1043,133,24.6206,-81.3553,0.02
196453,1043,134,24.6504,-81.3409,0.03
196454,1044,134,24.6374,-81.3081,0.02
196459,1049,134,24.5718,-81.1445,0.02
198028,1042,135,24.6933,-81.3593,0.03
198029,1043,135,24.6802,-81.3265,0.03
198030,1044,135,24.6672,-81.2938,0.02
198031,1045,135,24.6541,-81.2610,0.01
198036,1050,135,24.5884,-81.0974,0.03
199605,1043,136,24.7100,-81.3122,0.01
199607,1045,136,24.6838,-81.2466,0.02
199612,1050,136,24.6181,-81.0829,0.03
199613,1051,136,24.6049,-81.0502,0.06
201182,1044,137,24.7267,-81.2649,0.01
201183,1045,137,24.7136,-81.2321,0.02
201184,1046,137,24.7005,-81.1994,0.02
201188,1050,137,24.6479,-81.0684,0.03
201189,1051,137,24.6347,-81.0357,0.06
201190,1052,137,24.6214,-81.0030,0.06
202758,1044,138,24.7565,-81.2505,0.02
202759,1045,138,24.7434,-81.2177,0.02
202760,1046,138,24.7303,-81.1849,0.02
202761,1047,138,24.7171,-81.1521,0.02
202765,1051,138,24.6644,-81.0212,0.03
202766,1052,138,24.6511,-80.9885,0.06
202767,1053,138,24.6379,-80.9558,0.04
204337,1047,139,24.7469,-81.1376,0.01
204338,1048,139,24.7337,-81.1048,0.01
204341,1051,139,24.6941,-81.0066,0.01
204342,1052,139,24.6809,-80.9739,0.06
204343,1053,139,24.6676,-80.9412,0.07
205912,1046,140,24.7899,-81.1559,0.02
205913,1047,140,24.7767,-81.1231,0.03
205914,1048,140,24.7635,-81.0903,0.02
205917,1051,140,24.7238,-80.9920,0.01
205918,1052,140,24.7106,-80.9593,0.05
205919,1053,140,24.6973,-80.9266,0.08
205920,1054,140,24.6840,-80.8939,0.08
207488,1046,141,24.8197,-81.1414,0.03
207489,1047,141,24.8065,-81.1086,0.01
207490,1048,141,24.7933,-81.0758,0.01
207493,1051,141,24.7536,-80.9774,0.02
207494,1052,141,24.7403,-80.9447,0.02
207495,1053,141,24.7270,-80.9120,0.07
207496,1054,141,24.7137,-80.8793,0.11
207497,1055,141,24.7004,-80.8466,0.10
209067,1049,142,24.8098,-81.0284,0.01
209071,1053,142,24.7567,-80.8973,0.05
209072,1054,142,24.7434,-80.8646,0.15
209073,1055,142,24.7301,-80.8319,0.10
209074,1056,142,24.7168,-80.7992,0.08
210641,1047,143,24.8661,-81.0795,0.02
210642,1048,143,24.8528,-81.0466,0.03
210643,1049,143,24.8396,-81.0138,0.04
210644,1050,143,24.8263,-80.9810,0.01
210647,1053,143,24.7865,-80.8827,0.07
210648,1054,143,24.7732,-80.8499,0.13
210649,1055,143,24.7598,-80.8172,0.13
210650,1056,143,24.7465,-80.7845,0.07
210651,1057,143,24.7331,-80.7518,0.04
212217,1047,144,24.8959,-81.0649,0.02
212218,1048,144,24.8826,-81.0320,0.02
212219,1049,144,24.8694,-80.9992,0.01
212220,1050,144,24.8561,-80.9664,0.01
212221,1051,144,24.8428,-80.9336,0.01
212223,1053,144,24.8162,-80.8680,0.03
212224,1054,144,24.8029,-80.8353,0.09
212225,1055,144,24.7895,-80.8025,0.20
212226,1056,144,24.7762,-80.7698,0.08
212227,1057,144,24.7628,-80.7371,0.05
212228,1058,144,24.7494,-80.7044,0.03
213796,1050,145,24.8859,-80.9517,0.01
213797,1051,145,24.8726,-80.9189,0.04
213800,1054,145,24.8326,-80.8206,0.04
213801,1055,145,24.8192,-80.7878,0.12
213802,1056,145,24.8059,-80.7551,0.11
213803,1057,145,24.7925,-80.7224,0.06
213804,1058,145,24.7791,-80.6897,0.03
215372,1050,146,24.9157,-80.9371,0.01
215373,1051,146,24.9024,-80.9042,0.08
215376,1054,146,24.8623,-80.8058,0.07
215377,1055,146,24.8490,-80.7731,0.10
215378,1056,146,24.8356,-80.7403,0.14
215379,1057,146,24.8222,-80.7076,0.09
215380,1058,146,24.8088,-80.6749,0.05
215381,1059,146,24.7953,-80.6422,0.03
216949,1051,147,24.9321,-80.8896,0.02
216950,1052,147,24.9188,-80.8567,0.02
216952,1054,147,24.8921,-80.7911,0.06
216953,1055,147,24.8787,-80.7583,0.08
216954,1056,147,24.8653,-80.7256,0.22
216955,1057,147,24.8519,-80.6928,0.17
216956,1058,147,24.8385,-80.6601,0.08
216957,1059,147,24.8250,-80.6274,0.04
218521,1047,148,25.0152,-81.0064,0.02
218528,1054,148,24.9218,-80.7764,0.02
218529,1055,148,24.9084,-80.7436,0.05
218530,1056,148,24.8950,-80.7108,0.18
218531,1057,148,24.8816,-80.6780,0.17
218532,1058,148,24.8682,-80.6453,0.09
218533,1059,148,24.8547,-80.6125,0.04
218534,1060,148,24.8412,-80.5798,0.03
220095,1045,149,25.0715,-81.0577,0.01
220096,1046,149,25.0583,-81.0247,0.01
220097,1047,149,25.0450,-80.9917,0.01
220104,1054,149,24.9516,-80.7616,0.01
220105,1055,149,24.9382,-80.7288,0.08
220106,1056,149,24.9248,-80.6960,0.13
220107,1057,149,24.9113,-80.6632,0.27
220108,1058,149,24.8979,-80.6304,0.11
220109,1059,149,24.8844,-80.5977,0.05
220110,1060,149,24.8709,-80.5650,0.03
220111,1061,149,24.8574,-80.5323,0.04
221669,1043,150,25.1279,-81.1090,0.01
221673,1047,150,25.0748,-80.9771,0.01
221681,1055,150,24.9679,-80.7140,0.07
221682,1056,150,24.9545,-80.6812,0.15
221683,1057,150,24.9410,-80.6484,0.45
221684,1058,150,24.9276,-80.6156,0.18
221685,1059,150,24.9141,-80.5828,0.09
221686,1060,150,24.9006,-80.5501,0.05
221687,1061,150,24.8871,-80.5174,0.02
223247,1045,151,25.1313,-81.0283,0.01
223248,1046,151,25.1180,-80.9953,0.01
223249,1047,151,25.1047,-80.9624,0.01
223250,1048,151,25.0914,-80.9294,0.02
223257,1055,151,24.9977,-80.6992,0.04
223258,1056,151,24.9842,-80.6663,0.09
223259,1057,151,24.9708,-80.6335,0.24
223260,1058,151,24.9573,-80.6007,0.27
223261,1059,151,24.9438,-80.5680,0.10
223262,1060,151,24.9303,-80.5352,0.07
223263,1061,151,24.9168,-80.5025,0.03
224824,1046,152,25.1479,-80.9806,0.02
224826,1048,152,25.1212,-80.9147,0.02
224827,1049,152,25.1079,-80.8817,0.01
224833,1055,152,25.0274,-80.6843,0.01
224834,1056,152,25.0140,-80.6515,0.07
224835,1057,152,25.0005,-80.6187,0.29
224836,1058,152,24.9870,-80.5859,0.25
224837,1059,152,24.9735,-80.5531,0.15
224838,1060,152,24.9600,-80.5203,0.07
224839,1061,152,24.9465,-80.4875,0.03
224840,1062,152,24.9329,-80.4548,0.06
226398,1044,153,25.2044,-81.0320,0.02
226399,1045,153,25.1911,-80.9990,0.02
226400,1046,153,25.1777,-80.9659,0.02
226402,1048,153,25.1511,-80.8999,0.03
226409,1055,153,25.0572,-80.6695,0.03
226410,1056,153,25.0437,-80.6366,0.11
226411,1057,153,25.0303,-80.6038,0.17
226412,1058,153,25.0168,-80.5710,0.32
226413,1059,153,25.0032,-80.5382,0.14
226414,1060,153,24.9897,-80.5054,0.07
226415,1061,153,24.9762,-80.4726,0.04
226416,1062,153,24.9626,-80.4398,0.03
227972,1042,154,25.2609,-81.0835,0.01
227974,1044,154,25.2343,-81.0173,0.01
227975,1045,154,25.2210,-80.9842,0.02
227976,1046,154,25.2076,-80.9512,0.02
227977,1047,154,25.1943,-80.9182,0.02
227978,1048,154,25.1809,-80.8852,0.02
227981,1051,154,25.1408,-80.7863,0.01
227985,1055,154,25.0870,-80.6546,0.02
227986,1056,154,25.0735,-80.6217,0.11
227987,1057,154,25.0600,-80.5889,0.15
227988,1058,154,25.0465,-80.5560,0.22
227989,1059,154,25.0330,-80.5232,0.21
227990,1060,154,25.0194,-80.4904,0.10
227991,1061,154,25.0059,-80.4576,0.04
227992,1062,154,24.9923,-80.4249,0.01
229548,1042,155,25.2908,-81.0688,0.01
229552,1046,155,25.2375,-80.9365,0.02
229553,1047,155,25.2242,-80.9034,0.01
229554,1048,155,25.2108,-80.8704,0.02
229555,1049,155,25.1974,-80.8374,0.01
229562,1056,155,25.1033,-80.6068,0.04
229563,1057,155,25.0898,-80.5740,0.12
229564,1058,155,25.0762,-80.5411,0.20
229565,1059,155,25.0627,-80.5083,0.14
229566,1060,155,25.0491,-80.4755,0.08
229567,1061,155,25.0356,-80.4427,0.03
229568,1062,155,25.0220,-80.4099,0.03
229569,1063,155,25.0084,-80.3771,0.03
231126,1044,156,25.2941,-80.9878,0.01
231127,1045,156,25.2808,-80.9548,0.02
231128,1046,156,25.2674,-80.9217,0.02
231129,1047,156,25.2540,-80.8886,0.02
231130,1048,156,25.2407,-80.8556,0.02
231131,1049,156,25.2273,-80.8226,0.02
